record_date,workshop_code,workshop_name,energy_code,energy_name,consumption,unit,unit_price,cost,output_qty,output_unit,avg_temperature,record_status,data_source,reject_reason
2024-12-12,W01,熔炼车间,E02,天然气,12537.594,m³,3.5083,43985.73,253.659,吨,-1.8,正常,MES,业务键重复(日期×车间×能源)
2024-10-26,W01,熔炼车间,E01,电力,39600.963,kWh,0.6981,27647.39,263.418,吨,16.92,正常,MES,业务键重复(日期×车间×能源)
2025-06-27,W07,动力站,E02,天然气,13659.193,m³,3.4243,46773.56,566.628,吨蒸汽,25.29,正常,MES,业务键重复(日期×车间×能源)
2024-08-25,W07,动力站,E01,电力,10225.968,kWh,0.6746,6898.18,497.43,吨蒸汽,27.88,正常,MES,业务键重复(日期×车间×能源)
2024-03-17,W03,热处理车间,E03,蒸汽,31.155,t,217.9923,6791.51,88.808,吨,5.47,正常,MES,业务键重复(日期×车间×能源)
2024-06-08,W07,动力站,E01,电力,8804.361,kWh,0.6852,6032.36,497.771,吨蒸汽,20.47,正常,MES,业务键重复(日期×车间×能源)
2024-09-23,W05,表面处理车间,E04,工业水,405.43,m³,4.1085,1665.71,6707.959,平方米,22.45,正常,MES,业务键重复(日期×车间×能源)
2024-05-28,W05,表面处理车间,E02,天然气,817.011,m³,3.4816,2844.52,6918.7,平方米,23.4,正常,MES,业务键重复(日期×车间×能源)
2025-01-29,W07,动力站,E06,柴油,177.075,kg,7.7428,1371.05,503.997,吨蒸汽,-4.2,正常,MES,业务键重复(日期×车间×能源)
2025-01-15,W01,熔炼车间,E01,电力,45806.729,kWh,0.6865,31444.27,290.135,吨,-1.86,正常,MES,业务键重复(日期×车间×能源)
2025-11-13,W04,机加工车间,E01,电力,22354.894,kWh,0.6883,15386.71,4844.072,件,6.36,正常,MES,业务键重复(日期×车间×能源)
2024-07-31,W01,熔炼车间,E02,天然气,7597.499,m³,3.3993,25826.39,260.157,吨,29.04,正常,MES,业务键重复(日期×车间×能源)
2025-07-10,W02,轧制车间,E03,蒸汽,36.089,t,223.7426,8074.72,359.365,吨,25.56,正常,MES,业务键重复(日期×车间×能源)
2024-09-27,W01,熔炼车间,E05,压缩空气,3508.638,m³,0.2764,969.81,303.12,吨,19.57,正常,MES,业务键重复(日期×车间×能源)
2024-08-24,W05,表面处理车间,E03,蒸汽,14.926,t,215.1212,3210.84,4220.9,平方米,24.72,低负荷,MES,业务键重复(日期×车间×能源)
2024-07-09,W04,机加工车间,E05,压缩空气,5806.638,m³,0.287,1666.78,4334.811,件,26.48,正常,MES,业务键重复(日期×车间×能源)
2024-09-11,W06,装配车间,E05,压缩空气,,m³,0.285,1186.09,253.309,台,19.63,正常,MES,业务键重复(日期×车间×能源)
2024-08-06,W05,表面处理车间,E04,工业水,474.115,m³,4.0526,1921.41,6752.889,平方米,27.53,正常,MES,业务键重复(日期×车间×能源)
2024-09-01,W02,轧制车间,E02,天然气,4781.402,m³,3.4479,16486.01,335.557,吨,19.93,正常,MES,业务键重复(日期×车间×能源)
2024-07-30,W07,动力站,E01,电力,10282.6,kWh,0.6775,6966.81,525.648,吨蒸汽,34.45,正常,MES,业务键重复(日期×车间×能源)
2024-07-15,W05,表面处理车间,E04,工业水,411.612,m³,4.0827,1680.5,6996.002,平方米,28.23,正常,MES,业务键重复(日期×车间×能源)
2024-09-20,W02,轧制车间,E04,工业水,177.463,m³,4.0884,725.54,324.687,吨,27.65,正常,MES,业务键重复(日期×车间×能源)
2024-01-28,W03,热处理车间,E03,蒸汽,35.628,t,214.0782,7627.18,88.75,吨,-3.56,正常,MES,业务键重复(日期×车间×能源)
2024-01-14,W07,动力站,E01,电力,9353.037,kWh,0.6696,6262.93,507.833,吨蒸汽,-5.92,正常,MES,业务键重复(日期×车间×能源)
2025-07-19,W01,熔炼车间,E02,天然气,7777.214,m³,3.4794,27060.23,251.965,吨,28.9,正常,MES,业务键重复(日期×车间×能源)
2024-04-04,W06,装配车间,E05,压缩空气,900.516,m³,0.2842,255.95,16.983,台,17.52,停产,MES,业务键重复(日期×车间×能源)
2024-10-01,W02,轧制车间,E03,蒸汽,39.204,t,216.8186,8500.1,306.011,吨,15.24,正常,MES,业务键重复(日期×车间×能源)
2024-07-17,W07,动力站,E02,天然气,11878.704,m³,3.4391,40851.54,522.182,吨蒸汽,30.58,正常,MES,业务键重复(日期×车间×能源)
2025-05-25,W08,包装车间,E01,电力,1618.84,kWh,0.6987,1131.09,1966.185,件,24.55,低负荷,MES,业务键重复(日期×车间×能源)
2024-11-08,W06,装配车间,E05,压缩空气,4337.925,m³,0.2785,1208.16,245.712,台,7.49,正常,MES,业务键重复(日期×车间×能源)
2024-11-17,W07,动力站,E04,工业水,912.382,m³,4.111,3750.82,514.632,吨蒸汽,5.95,正常,MES,业务键重复(日期×车间×能源)
2024-07-05,W04,机加工车间,E04,工业水,62.321,m³,4.0186,250.44,4336.679,件,28.72,正常,MES,业务键重复(日期×车间×能源)
2024-11-03,W06,总装车间,E01,电力,4255.675,kWh,0.6822,2903.13,51.153,台,1.52,低负荷,MES,业务键重复(日期×车间×能源)
2024-10-08,W01,熔炼车间,E02,天然气,8761.067,m³,3.5036,30695.52,257.483,吨,15.09,正常,MES,业务键重复(日期×车间×能源)
2025-09-16,W05,表面处理车间,E02,天然气,786.6,m³,3.4613,2722.64,7851.352,平方米,19.99,正常,MES,业务键重复(日期×车间×能源)
2025-03-23,W08,包装车间,E01,电力,1627.141,kWh,0.6822,1110.08,2135.153,件,3.06,低负荷,MES,业务键重复(日期×车间×能源)
2024-11-13,W02,轧制车间,E01,电力度,41985.594,kWh,0.6781,28471.36,354.511,吨,4.17,正常,MES,业务键重复(日期×车间×能源)
2024-12-06,W01,熔炼车间,E04,工业水,263.098,m³,4.1059,1080.25,284.169,吨,-3.33,正常,MES,业务键重复(日期×车间×能源)
2024-11-10,W04,机加工车间,E04,工业水,22.421,m³,4.0774,91.42,824.502,件,7.28,低负荷,MES,业务键重复(日期×车间×能源)
2025-12-24,W02,轧制车间,E02,天然气,8313.563,m³,3.5328,29370.55,361.546,吨,-3.0,正常,MES,业务键重复(日期×车间×能源)
2024-01-16,W02,轧制车间,E04,工业水,180.204,m³,4.0496,729.75,357.549,吨,-3.47,正常,MES,业务键重复(日期×车间×能源)
2025-11-10,W01,熔炼车间,E02,天然气,12173.87,m³,3.5273,42941.21,278.485,吨,-1.25,正常,MES,业务键重复(日期×车间×能源)
2025-06-17,W06,装配车间,E05,压缩空气,4361.796,m³,0.2748,1198.48,283.454,台,24.64,正常,MES,业务键重复(日期×车间×能源)
2025-09-21,W05,表面处理车间,E04,工业水,169.318,m³,4.0965,693.61,1396.789,平方米,21.34,低负荷,MES,业务键重复(日期×车间×能源)
2024-11-14,W05,表面处理车间,E02,天然气,1070.375,m³,3.4737,3718.21,7012.859,平方米,9.5,正常,MES,业务键重复(日期×车间×能源)
2025-10-07,W05,表面处理车间,E03,蒸汽,7.344,t,221.0028,1623.09,406.458,平方米,14.72,停产,MES,业务键重复(日期×车间×能源)
2024-07-01,W05,表面处理车间,E04,工业水,423.345,m³,4.0062,1695.99,7809.224,平方米,31.55,正常,MES,业务键重复(日期×车间×能源)
2024-02-02,W02,轧制车间,E01,电力,38587.373,kWh,0.6714,25907.23,332.562,吨,-0.51,正常,MES,业务键重复(日期×车间×能源)
2024-09-03,W06,装配车间,E01,电力,13205.773,kWh,0.6842,9035.32,258.816,台,21.15,正常,MES,业务键重复(日期×车间×能源)
2025-10-13,W05,表面处理车间,E03,蒸汽,24.807,t,219.7511,5451.45,7752.729,平方米,11.58,正常,MES,业务键重复(日期×车间×能源)
2024-03-04,W07,动力站,E02,天然气,17846.21,m³,3.4864,62219.02,509.337,吨蒸汽,7.52,正常,MES,业务键重复(日期×车间×能源)
2025-06-09,W01,熔炼车间,E01,电力,45026.764,kWh,0.6894,31042.09,290.182,吨,26.15,正常,MES,业务键重复(日期×车间×能源)
2024-12-30,W01,熔炼车间,E02,天然气,12443.292,m³,3.4576,43024.03,303.24,吨,-0.5,正常,MES,业务键重复(日期×车间×能源)
2024-11-24,W02,轧制车间,E03,蒸汽,48.285,t,222.5645,10746.54,333.483,吨,6.13,正常,MES,业务键重复(日期×车间×能源)
2025-05-15,W05,表面处理车间,E01,电力,22752.862,kWh,0.6763,15387.78,7336.435,平方米,22.84,正常,MES,业务键重复(日期×车间×能源)
2024-06-11,W03,热处理车间,E03,蒸汽,24.789,t,223.6599,5544.33,95.906,吨,23.31,正常,MES,业务键重复(日期×车间×能源)
2025-12-07,W04,机加工车间,E05,压缩空气,2014.388,m³,0.2769,557.87,876.099,件,-5.41,低负荷,MES,业务键重复(日期×车间×能源)
2025-03-31,W05,表面处理车间,E01,电力,21881.919,kWh,0.6579,14396.14,7145.857,平方米,10.82,正常,MES,业务键重复(日期×车间×能源)
2025-11-25,W05,表面处理车间,E03,蒸汽,30.44,t,222.5668,6774.84,,平方米,2.72,正常,MES,业务键重复(日期×车间×能源)
2025-08-07,W04,机加工车间,E04,工业水,60.293,m³,4.0359,243.33,4681.579,件,24.86,正常,MES,业务键重复(日期×车间×能源)
2025-02-22,W06,装配车间,E05,压缩空气,2700.901,m³,0.2821,761.8,160.936,台,5.06,低负荷,MES,业务键重复(日期×车间×能源)
2024-02-04,W06,装配车间,E05,压缩空气,1408.526,m³,0.2782,391.83,48.792,台,1.63,低负荷,MES,业务键重复(日期×车间×能源)
2024-01-07,W02,轧制车间,E01,电力,39560.76,kWh,0.683,27020.5,306.988,吨,-2.45,正常,MES,业务键重复(日期×车间×能源)
2024-08-24,W01,熔炼车间,E01,电力,52011.277,kWh,0.6752,35117.45,280.613,吨,24.72,正常,MES,业务键重复(日期×车间×能源)
2025-03-18,W03,热处理车间,E01,电力,24848.254,kWh,0.6766,16812.79,105.218,吨,9.96,正常,MES,业务键重复(日期×车间×能源)
2024-02-09,W08,包装车间,E01,电力,5426.314,kWh,0.6796,3687.94,10382.832,件,-7.92,正常,MES,业务键重复(日期×车间×能源)
2024-11-17,W07,动力站,E01,电力,8468.457,kWh,0.6844,5795.66,514.632,吨蒸汽,5.95,正常,MES,业务键重复(日期×车间×能源)
2024-05-21,W07,动力站,E06,柴油,172.919,kg,7.6604,1324.62,535.648,吨蒸汽,20.43,正常,MES,业务键重复(日期×车间×能源)
2025-01-21,W07,动力站,E06,柴油,186.418,kg,7.9145,1475.4,522.673,吨蒸汽,-5.45,正常,MES,业务键重复(日期×车间×能源)
2025-02-22,W02,轧制车间,E01,电力,41600.281,kWh,0.665,27665.5,335.253,吨,5.06,正常,MES,业务键重复(日期×车间×能源)
2024-04-18,W07,动力站,E04,工业水,891.978,m³,4.0566,3618.38,512.488,吨蒸汽,9.2,正常,MES,业务键重复(日期×车间×能源)
2025-01-11,W04,机加工车间,E04,工业水,40.674,m³,4.0997,166.75,2762.328,件,-6.41,低负荷,MES,业务键重复(日期×车间×能源)
2025-07-26,W04,机加工车间,E05,压缩空气,4224.048,m³,0.2858,1207.44,2827.973,件,31.23,低负荷,MES,业务键重复(日期×车间×能源)
2025-04-27,W01,熔炼车间,E01,电力,35912.251,kWh,0.6994,25117.01,253.485,吨,18.9,正常,MES,业务键重复(日期×车间×能源)
2025-12-05,W07,动力站,E02,天然气,23915.873,m³,3.4494,82495.97,538.218,吨蒸汽,-1.18,正常,MES,业务键重复(日期×车间×能源)
2025-01-17,W06,装配,E05,压缩空气,4348.283,m³,0.2819,1225.65,266.759,台,-7.45,正常,MES,业务键重复(日期×车间×能源)
2024-11-29,W08,包装车间,E05,压缩空气,1381.995,m³,0.2801,387.06,9473.316,件,6.46,正常,MES,业务键重复(日期×车间×能源)
2024-02-28,W07,动力站,E04,工业水,926.644,m³,4.0735,3774.64,511.697,吨蒸汽,2.89,正常,MES,业务键重复(日期×车间×能源)
2024-04-24,W06,装配车间,E01,电力,11457.958,kWh,0.6837,7833.25,254.632,台,9.47,正常,MES,业务键重复(日期×车间×能源)
2025-10-23,W05,表面处理车间,E01,电力,21633.876,kWh,0.6772,14649.97,7503.599,平方米,18.93,正常,MES,业务键重复(日期×车间×能源)
2025-06-20,W04,机加工车间,E01,电力,20282.538,kWh,0.6758,13707.92,4076.57,件,23.27,正常,MES,业务键重复(日期×车间×能源)
2025-09-24,W08,包装车间,E01,电力,5561.421,kWh,0.6827,3796.58,10925.202,件,22.16,正常,MES,业务键重复(日期×车间×能源)
2024-10-17,W02,轧制车间,E04,工业水,197.06,m³,4.0817,804.33,292.898,吨,11.64,正常,MES,业务键重复(日期×车间×能源)
2024-04-18,W01,熔炼车间,E04,工业水,263.014,m³,4.0396,1062.47,229.95,吨,9.2,正常,MES,业务键重复(日期×车间×能源)
2025-06-21,W03,热处理车间,E03,蒸汽,26.197,t,211.3252,5536.07,97.232,吨,21.87,正常,MES,业务键重复(日期×车间×能源)
2024-11-05,W03,热处理车间,E03,蒸汽,34.759,t,222.0924,7719.76,105.118,吨,9.4,正常,MES,业务键重复(日期×车间×能源)
2025-02-16,W08,包装车间,E01,电力,1735.652,kWh,0.6694,1161.93,2254.426,件,3.62,低负荷,MES,业务键重复(日期×车间×能源)
2024-01-07,W04,机加工车间,E04,工业水,19.304,m³,4.1709,80.52,873.293,件,-2.45,低负荷,MES,业务键重复(日期×车间×能源)
2025-03-18,W07,动力站,E06,柴油,175.313,kg,7.6238,1336.55,601.301,吨蒸汽,9.96,正常,MES,业务键重复(日期×车间×能源)
2025-05-30,W05,表面处理车间,E02,天然气,755.189,m³,3.4506,2605.88,6772.675,平方米,25.17,正常,MES,业务键重复(日期×车间×能源)
2024-01-29,W07,动力站,E04,工业水,890.595,m³,4.0697,3624.45,525.56,吨蒸汽,-7.36,正常,MES,业务键重复(日期×车间×能源)
2025-07-23,W04,机加工车间,E01,电力,23733.967,kWh,0.6882,16334.24,4375.208,件,25.56,正常,MES,业务键重复(日期×车间×能源)
2024-02-20,W01,熔炼车间,E04,工业水,283.414,m³,3.9611,1122.64,277.638,吨,-2.45,正常,MES,业务键重复(日期×车间×能源)
2024-03-24,W07,动力站,E06,柴油,177.108,kg,7.6741,1359.13,519.149,吨蒸汽,8.1,正常,MES,业务键重复(日期×车间×能源)
2025-06-06,W01,熔炼车间,E02,天然气,7084.639,m³,3.4013,24097.25,275.364,吨,31.22,正常,MES,业务键重复(日期×车间×能源)
2024-10-27,W03,热处理车间,E03,蒸汽,,t,220.3605,6195.25,97.07,吨,18.93,正常,MES,业务键重复(日期×车间×能源)
2025-11-29,W05,表面处理车间,E01,电力,16374.949,kWh,0.6738,11033.83,4342.098,平方米,8.16,低负荷,MES,业务键重复(日期×车间×能源)
2025-08-22,W07,动力站,E06,柴油,186.357,kg,7.938,1479.3,543.837,吨蒸汽,26.57,正常,MES,业务键重复(日期×车间×能源)
2025-09-09,W04,机加工车间,E01,电力,19213.287,kWh,0.6755,12979.44,,件,24.21,正常,MES,业务键重复(日期×车间×能源)
2024-12-07,W04,机加工车间,E01,电力,14544.692,kWh,0.6705,9752.3,2721.953,件,-1.02,低负荷,MES,业务键重复(日期×车间×能源)
2024-12-26,W08,包装车间,E05,压缩空气,1438.565,m³,0.2775,399.25,10727.174,件,-0.82,正常,MES,业务键重复(日期×车间×能源)
2024-05-06,W03,热处理车间,E03,蒸汽,27.902,t,221.1675,6170.94,98.358,吨,19.38,正常,MES,业务键重复(日期×车间×能源)
2024-08-28,W07,动力站,E02,天然气,13125.29,m³,3.4406,45159.35,520.832,吨蒸汽,30.49,正常,MES,业务键重复(日期×车间×能源)
2024-04-01,W03,热处理车间,E03,蒸汽,27.024,t,216.4519,5849.32,100.641,吨,15.32,正常,MES,业务键重复(日期×车间×能源)
2025-10-22,W04,机加工车间,E05,压缩空气,5536.062,m³,0.2762,1529.12,4849.934,件,16.31,正常,MES,业务键重复(日期×车间×能源)
2025-08-13,W04,机加工车间,E04,工业水,64.178,m³,4.1453,266.04,4816.154,件,29.17,正常,MES,业务键重复(日期×车间×能源)
2025-04-17,W04,机加工车间,E04,工业水,64.626,m³,4.0047,258.81,4896.257,件,16.9,正常,MES,业务键重复(日期×车间×能源)
2025-07-22,W05,表面处理车间,E01,电力,28503.653,kWh,0.681,19411.42,7393.579,平方米,24.82,正常,MES,业务键重复(日期×车间×能源)
2025-08-12,W07,动力站,E02,天然气,12920.078,m³,3.4768,44920.26,554.37,吨蒸汽,25.67,正常,MES,业务键重复(日期×车间×能源)
2024-08-10,W08,包装车间,E01,电力,5053.772,kWh,0.6721,3396.73,6377.48,件,27.87,低负荷,MES,业务键重复(日期×车间×能源)
2024-06-29,W01,熔炼车间,E05,压缩空气,3000.794,m³,0.2777,833.39,245.334,吨,24.81,正常,MES,业务键重复(日期×车间×能源)
2025-04-17,W07,动力站,E04,工业水,845.076,m³,4.1083,3471.8,513.306,吨蒸汽,16.9,正常,MES,业务键重复(日期×车间×能源)
2025-12-30,W05,表面处理车间,E03,蒸汽,31.396,t,219.3013,6885.1,7719.219,平方米,-7.12,正常,MES,业务键重复(日期×车间×能源)
2024-08-10,W04,机加工车间,E05,压缩空气,4052.169,m³,0.2846,1153.42,2543.968,件,27.87,低负荷,MES,业务键重复(日期×车间×能源)
2024-08-22,W03,热处理车间,E03,蒸汽,27.403,t,221.3939,6066.82,90.412,吨,27.18,正常,MES,业务键重复(日期×车间×能源)
2024-11-19,W04,机加工车间,E04,工业水,60.428,m³,4.0852,246.86,4251.655,件,3.4,正常,MES,业务键重复(日期×车间×能源)
2025-12-07,W03,热处理车间,E01,电力,27225.566,kWh,0.6859,18673.03,98.115,吨,-5.41,正常,MES,业务键重复(日期×车间×能源)
2025-04-18,W03,热处理车间,E03,蒸汽,26.376,t,222.0119,5855.68,94.908,吨,18.14,正常,MES,业务键重复(日期×车间×能源)
2024-03-09,W03,热处理车间,E01,外购电,23389.714,kWh,0.6837,15990.7,94.342,吨,6.27,正常,MES,业务键重复(日期×车间×能源)
2025-10-31,W08,包装车间,E01,电力,5001.829,kWh,0.6808,3405.1,10596.286,件,9.71,正常,MES,业务键重复(日期×车间×能源)
2024-07-22,W02,轧制车间,E02,天然气,4774.612,m³,3.4291,16372.52,323.264,吨,25.19,正常,MES,业务键重复(日期×车间×能源)
2025-04-19,W05,表面处理车间,E04,工业水,290.115,m³,4.0754,1182.32,4560.906,平方米,16.4,低负荷,MES,业务键重复(日期×车间×能源)
2024-10-22,W07,动力站,E02,天然气,15161.976,m³,3.4121,51734.74,541.402,吨蒸汽,14.38,正常,MES,业务键重复(日期×车间×能源)
2025-05-20,W07,动力站,E06,0#柴油,194.709,kg,7.7493,1508.85,540.345,吨蒸汽,24.27,正常,MES,业务键重复(日期×车间×能源)
2025-08-06,W07,动力站,E02,天然气,12524.937,m³,3.4312,42975.26,562.934,吨蒸汽,31.25,正常,MES,业务键重复(日期×车间×能源)
2025-07-11,W01,熔炼车间,E04,工业水,269.598,m³,4.1655,1123.01,295.798,吨,28.03,正常,MES,业务键重复(日期×车间×能源)
2025-04-13,W04,机加工车间,E04,工业水,19.123,m³,4.1362,79.1,839.244,件,16.94,低负荷,MES,业务键重复(日期×车间×能源)
2025-04-02,W02,轧制车间,E04,工业水,162.808,m³,4.1439,674.65,337.963,吨,12.01,正常,MES,业务键重复(日期×车间×能源)
2024-03-14,W08,包装车间,E05,压缩空气,1382.363,m³,0.2782,384.63,9867.052,件,6.04,正常,MES,业务键重复(日期×车间×能源)
2025-08-14,W07,动力站,E06,柴油,200.503,kg,7.6017,1524.16,559.257,吨蒸汽,29.01,正常,MES,业务键重复(日期×车间×能源)
2024-05-29,W02,轧制车间,E03,蒸汽,36.986,t,220.045,8138.52,347.139,吨,22.66,正常,MES,业务键重复(日期×车间×能源)
2025-12-17,W01,熔炼车间,E05,压缩空气,3062.512,m³,0.2857,874.81,282.477,吨,-5.04,正常,MES,业务键重复(日期×车间×能源)
2025-04-19,W01,熔炼车间,E02,天然气,8591.215,m³,3.45,29639.47,273.128,吨,16.4,正常,MES,业务键重复(日期×车间×能源)
2025-10-19,W05,表面处理车间,E03,蒸汽,10.41,t,219.8141,2288.3,1430.902,平方米,13.2,低负荷,MES,业务键重复(日期×车间×能源)
2024-06-04,W05,表面处理车间,E03,蒸汽,22.763,t,218.6979,4978.15,7559.525,平方米,28.83,正常,MES,业务键重复(日期×车间×能源)
2025-04-12,W02,轧制车间,E03,蒸汽,38.415,t,219.3995,8428.28,305.82,吨,14.88,正常,MES,业务键重复(日期×车间×能源)
2025-02-25,W04,机加工车间,E01,电力,21254.035,kWh,0.682,14494.46,4280.095,件,0.19,正常,MES,业务键重复(日期×车间×能源)
2025-11-08,W04,机加工车间,E01,电力,12763.208,kWh,,8592.4,2913.861,件,2.48,低负荷,MES,业务键重复(日期×车间×能源)
2025-02-27,W03,热处理车间,E03,蒸汽,35.675,t,220.4405,7864.14,107.277,吨,-3.56,正常,MES,业务键重复(日期×车间×能源)
2025-10-11,W02,轧制车间,E04,工业水,186.866,m³,4.0987,765.91,326.502,吨,15.23,正常,MES,业务键重复(日期×车间×能源)
2024-09-25,W02,轧制车间,E04,工业水,189.821,m³,4.0637,771.38,349.533,吨,18.08,正常,MES,业务键重复(日期×车间×能源)
2024-10-23,W06,装配车间,E01,电力,,kWh,0.683,7402.1,280.334,台,12.8,正常,MES,业务键重复(日期×车间×能源)
2025-10-14,W02,轧制车间,E04,工业水,189.962,m³,4.112,781.13,328.025,吨,18.22,正常,MES,业务键重复(日期×车间×能源)
2025-09-23,W03,热处理车间,E02,天然气,7499.255,m³,3.4788,26088.32,100.472,吨,21.81,正常,MES,业务键重复(日期×车间×能源)
2025-11-17,W04,机加工车间,E04,工业水,65.36,m³,4.1407,270.63,4475.217,件,5.02,正常,MES,业务键重复(日期×车间×能源)
2025-07-21,W03,热处理车间,E03,蒸汽,23.172,t,222.1066,5146.65,99.074,吨,29.24,正常,MES,业务键重复(日期×车间×能源)
2025-01-13,W01,熔炼车间,E01,电力,50666.079,kWh,0.688,34857.66,277.345,吨,-3.41,正常,MES,业务键重复(日期×车间×能源)
2024-03-16,W01,熔炼车间,E02,天然气,11207.847,m³,3.5517,39807.41,251.671,吨,4.18,正常,MES,业务键重复(日期×车间×能源)
2025-04-18,W06,装配车间,E01,电,12000.268,kWh,0.6714,8056.99,273.061,台,18.14,正常,MES,业务键重复(日期×车间×能源)
2024-02-21,W02,轧制车间,E03,蒸汽,50.167,t,220.7771,11075.82,304.217,吨,2.68,正常,MES,业务键重复(日期×车间×能源)
2024-01-02,W01,熔炼车间,E05,压缩空气,3084.92,m³,0.2772,855.01,250.538,吨,-6.36,正常,MES,业务键重复(日期×车间×能源)
